nuclide,energy,colA,colB
40K,1460.822,0.267814641984084,0.0009618566237
234Th,63.29,0.9217887868,0.003344905051
230Th,67.672,0.1085387576,0.002062839976
234Th,92.59,1.196991315,0.01406277576
235U,143.76,0.1092809094,0.002018334239
235U/226Ra,185.715,0.4915323419,0.0154148084
234mPa,1001.03,0.03130080742,0.0005946759566
214Pb,241.995,1.012706343,0.003398397117
214Pb,295.2228,2.19503589,0.006258743262
214Pb,351.9321,3.532070101,0.009577856999
214Bi,609.32,2.034383967,0.005822021247
214Bi,1120.294,0.3762017984,0.00159628864
210Pb,46.539,0.9530693919,0.00334819539
228Ac,129.07,0.3644153138,0.003964416956
228Ac,338.32,1.112821297,0.01114181617
228Ac,911.204,0.9686006262,0.009685045217
228Ac,968.971,0.5674266399,0.005810340875
212Pb,238.632,6.538597477,0.06347782351
212Pb,300.087,0.2821479358,0.003090486023
212Bi,727.33,0.3290750728,0.003487179848
Tl-208,583.187,1.400997241,0.01395499112
Tl-208,860.557,0.1750374433,0.001949071121
137Cs,661.657,4.632204519,0.09590821886
241Am,59.5409,8.52072685,0.3494038467
7Be,477.595,,
